<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
日朗	yat6long5	j 6 t _6 . l O: N _5
日本	yat6bun2	j 6 t _6 . b u: n _2
日益	yat6yik1	j 6 t _6 . j i: k _1
日红	yat6hung4	j 6 t _6 . h u: N _4
日进	yat6jeun3	j 6 t _6 . dz 9: n _3
旧	gau6	g 6w _6
旧年	gau6nin2	g 6w _6 . n i: n _2	g 6w _6 . n i: n _4
旨	ji2	dz i: _2
早	jou2	dz ow _2
早前	jou2chin4	dz ow _2 . ts i: n _4
早期	jou2kei4	dz ow _2 . k ej _4
时	si4	s i: _4
时代	si4doi6	s i: _4 . d O:j _6
时候	si4hau6	s i: _4 . h 6w _6
时光	si4gwong1	s i: _4 . gw O: N _1
时冷时热	si4laang1si4yit6	s i: _4 . l a: N _1 . s i: _4 . j i: t _6
时常	si4seung4	s i: _4 . s 9: N _4
时段	si4dyun6	s i: _4 . d y: n _6
时间	si4gaan3	s i: _4 . g a: n _3
时间表	si4gaan3biu2	s i: _4 . g a: n _3 . b iw _2
昂贵	ngong4gwai3	N O: N _4 . gw 6j _3	O: N _4 . gw 6j _3
昆虫	kwan1chung4	kw 6 n _1 . ts u: N _4
昌	cheung1	ts 9: N _1
明	ming4	m i: N _4
明亮	ming4leung6	m i: N _4 . l 9: N _6
明天	ming4tin1	m i: N _4 . t i: n _1
明年	ming4nin2	m i: N _4 . l i: n _2	m i: N _4 . n i: n _2
明白	ming4baak6	m i: N _4 . b a: k _6
明确	ming4kok3	m i: N _4 . k O: k _3
易	yi6	j i: _6
星座	sing1jo6	s i: N _1 . dz O: _6
星期	sing1kei4	s i: N _1 . k ej _4
星期一	sing1kei4yat1	s i: N _1 . k ej _4 . j 6 t _1
星期三	sing1kei4saam1	s i: N _1 . k ej _4 . s a: m _1
星期二	sing1kei4yi6	s i: N _1 . k ej _4 . j i: _6
星期五	sing1kei4m5	s i: N _1 . k ej _4 . m _5	s i: N _1 . k ej _4 . N _5
星期六	sing1kei4luk6	s i: N _1 . k ej _4 . l u: k _6
星期四	sing1kei4sei3	s i: N _1 . k ej _4 . s ej _3
星期日	sing1kei4yat6	s i: N _1 . k ej _4 . j 6 t _6
春云	cheun1wan4	ts 9: n _1 . w 6 n _4
春节	cheun1jit3	ts 9: n _1 . dz i: t _3
昨天	jok6tin1	dz O: k _6 . t i: n _1
是	si6	s i: _6
是非	si6fei1	s i: _6 . f ej _1
昼	jau3	dz 6w _3
显	hin2	h i: n _2
显得	hin2dak1	h i: n _2 . d 6 k _1
显现	hin2yin6	h i: n _2 . j i: n _6
显赫	hin2hak1	h i: n _2 . h 6 k _1
晋州	jeun3jau1	dz 9: n _3 . dz 6w _1
晏昼	aan3jau3	a: n _3 . dz 6w _3
晚	maan5	m a: n _5
晚上	maan5seung6	m a: n _5 . s 9: N _6
普通	pou2tung1	p ow _2 . t u: N _1
普通话	pou2tung1wa2	p ow _2 . t u: N _1 . w a: _2
普遍	pou2pin3	p ow _2 . p i: n _3
景	ging2	g i: N _2
景兴	ging2hing1	g i: N _2 . h i: N _1
景斌	ging2ban1	g i: N _2 . b 6 n _1
景气	ging2hei3	g i: N _2 . h ej _3
景色	ging2sik1	g i: N _2 . s i: k _1
景象	ging2jeung6	g i: N _2 . dz 9: N _6
晴	ching4	ts i: N _4
智力	ji3lik6	dz i: _3 . l i: k _6
智慧	ji3wai6	dz i: _3 . w 6j _6
智者	ji3je2	dz i: _3 . dz E: _2
暂时	jaam6si4	dz a: m _6 . s i: _4
暗中	am3jung1	6 m _3 . dz u: N _1	N 6 m _3 . dz u: N _1
暴	bou6	b ow _6
暴君	bou6gwan1	b ow _6 . gw 6 n _1
暴雨	bou6yu5	b ow _6 . j y: _5
更	gang1	g 6 N _1
更	gang3	g 6 N _3	g E: N _3
曹纯杰	chou4seun4git6	ts ow _4 . s 9: n _4 . g i: t _6
曼德尔森	maan6dak1yi5sam1	m a: n _6 . d 6 k _1 . j i: _5 . s 6 m _1
曾	chang4	ts 6 N _4	dz 6 N _1
曾盈书	jang1ying4syu1	dz 6 N _1 . j i: N _4 . s y: _1
替代	tai3doi6	t 6j _3 . d O:j _6
最	jeui3	dz 9y _3
最后	jeui3hau6	dz 9y _3 . h 6w _6
最近	jeui3gan6	dz 9y _3 . g 6 n _6	dz 9y _3 . k 6 n _5
月	yut6	j y: t _6
月熊	yut6hung4	j y: t _6 . h u: N _4
有	yau6	j 6w _6
有	yau5	j 6w _5	j 6w _6
有为	yau5wai4	j 6w _5 . w 6j _4
有些	yau5se1	j 6w _5 . s E: _1
有关	yau5gwaan1	j 6w _5 . gw a: n _1
有害	yau5hoi6	j 6w _5 . h O:j _6
有志者事竟成	yau5ji3je2si6ging3sing4	j 6w _5 . dz i: _3 . dz E: _2 . s i: _6 . g i: N _3 . s i: N _4
有悖于	yau5bui6yu1	j 6w _5 . b u:j _6 . j y: _1
有意义	yau5yi3yi6	j 6w _5 . j i: _3 . j i: _6
有所	yau6so2	j 6w _6 . s O: _2
有所作为	yau5so2jok3wai4	j 6w _5 . s O: _2 . dz O: k _3 . w 6j _4
有效	yau5haau6	j 6w _5 . h a:w _6
有时	yau5si4	j 6w _5 . s i: _4
有时候	yau5si4hau6	j 6w _5 . s i: _4 . h 6w _6
有权	yau5kyun4	j 6w _5 . k y: n _4
有益	yau5yik1	j 6w _5 . j i: k _1
有限	yau5haan6	j 6w _5 . h a: n _6
朋友	pang4yau5	p 6 N _4 . j 6w _5
服务人员	fuk6mou6yan4yun4	f u: k _6 . m ow _6 . j 6 n _4 . j y: n _4
服务员	fuk6mou6yun4	f u: k _6 . m ow _6 . j y: n _4
服用	fuk6yung6	f u: k _6 . j y: N _6
望	mong6	m O: N _6
朝	jiu1	dz iw _1
朝早	jiu1jou2	dz iw _1 . dz ow _2
朝阳	jiu1yeung4	dz iw _1 . j 9: N _4
期待	kei4doi6	k ej _4 . d O:j _6
期间	kei4gaan1	k ej _4 . g a: n _1
木业	muk6yip6	m u: k _6 . j i: p _6
未	mei6	m ej _6
未必	mei6bit1	m ej _6 . b i: t _1
未来	mei6loi4	m ej _6 . l O:j _4
本	bun2	b u: n _2
本人	bun2yan4	b u: n _2 . j 6 n _4
本地	bun2dei6	b u: n _2 . d ej _6
本来	bun2loi4	b u: n _2 . l O:j _4
本能	bun2nang4	b u: n _2 . n 6 N _4
本身	bun2san1	b u: n _2 . s 6 n _1
朱仁修	jyu1yan4sau1	dz y: _1 . j 6 n _4 . s 6w _1
朱宏达	jyu1wang4daat6	dz y: _1 . w 6 N _4 . d a: t _6
机会	gei1wui6	g ej _1 . w u:j _6
机关	gei1gwaan1	g ej _1 . gw a: n _1
机制	gei1jai3	g ej _1 . dz 6j _3
机器	gei1hei3	g ej _1 . h ej _3
机场	gei1cheung4	g ej _1 . ts 9: N _4
机床	gei1chong4	g ej _1 . ts O: N _4
机械	gei1haai6	g ej _1 . h a:j _6
机能	gei1nang4	g ej _1 . n 6 N _4
杀	saat3	s a: t _3
杂志社	jaap6ji3se5	dz a: p _6 . dz i: _3 . s E: _5
杂技	jaap6gei6	dz a: p _6 . g ej _6
权	kyun4	k y: n _4
权利	kyun4lei6	k y: n _4 . l ej _6
李婷骏	lei5ting4jeun3	l ej _5 . t i: N _4 . dz 9: n _3
李庭玮	lei5ting4wai5	l ej _5 . t i: N _4 . w 6j _5
李怡伸	lei5yi4san1	l ej _5 . j i: _4 . s 6 n _1
李怡神	lei5yi4san4	l ej _5 . j i: _4 . s 6 n _4
李淑芬	lei5suk6fan1	l ej _5 . s u: k _6 . f 6 n _1
李湖水	lei5wu4seui2	l ej _5 . w u: _4 . s 9y _2
杖	jeung6	dz 9: N _6
条	tiu4	t iw _4
条件	tiu4gin2	t iw _4 . g i: n _2
来	loi4	l O:j _4
来临	loi4lam4	l O:j _4 . l 6 m _4
来宾	loi4ban1	l O:j _4 . b 6 n _1
来往	loi4wong5	l O:j _4 . w O: N _5
来源	loi4yun4	l O:j _4 . j y: n _4
来自	loi4ji6	l O:j _4 . dz i: _6
杯	bui1	b u:j _1
松下	sung1ha2	s u: N _1 . h a: _2
松岛	sung1dou2	s u: N _1 . d ow _2	ts u: N _4 . d ow _2
松弛	sung1chi4	s u: N _1 . ts i: _4
极	gik6	g i: k _6
构成	kau3sing4	g 6w _3 . s i: N _4	k 6w _3 . s i: N _4
构造	kau3chou3	k 6w _3 . ts ow _3	g 6w _3 . ts ow _3
林	lam4	l 6 m _4	l 6 n _4
林怡伶	lam4yi4ling4	l 6 m _4 . j i: _4 . l i: N _4
林琳	lam4lam4	l 6 m _4 . l 6 m _4
林雅伶	lam4nga5ling4	l 6 m _4 . N a: _5 . l i: N _4
果	go2	g O: _2	gw O: _2
架子	ga3ji2	g a: _3 . dz i: _2
架空	ga3hung1	g a: _3 . h u: N _1
某	mau5	m 6w _5
柠豪	ling4hou4	l i: N _4 . h ow _4	n i: N _4 . h ow _4
查封	cha4fung1	ts a: _4 . f u: N _1
柳州	lau5jau1	l 6w _5 . dz 6w _1
标	biu1	b iw _1
标准	biu1jeun2	b iw _1 . dz 9: n _2
标志	biu1ji3	b iw _1 . dz i: _3
栋	dung6	d u: N _6
树	syu6	s y: _6
树疤	syu6ba1	s y: _6 . b a: _1
样	yeung2	j 9: N _2
样本	yeung6bun2	j 9: N _6 . b u: n _2
核电厂	hat6din6chong2	h 6 t _6 . d i: n _6 . ts O: N _2
根据地	gan1geui3dei6	g 6 n _1 . g 9y _3 . d ej _6
栽	joi1	dz O:j _1
桂东	gwai3dung1	gw 6j _3 . d u: N _1
案	on3	O: n _3	N O: n _3
案件	on3gin2	O: n _3 . g i: n _2	N O: n _3 . g i: n _2
案例	on3lai6	O: n _3 . l 6j _6	N O: n _3 . l 6j _6
档口	dong3hau2	d O: N _3 . h 6w _2
梦想	mung6seung2	m u: N _6 . s 9: N _2
梧州	ng4jau1	N _4 . dz 6w _1
梯形	tai1ying4	t 6j _1 . j i: N _4
检察	gim2chaat3	g i: m _2 . ts a: t _3
检讨	gim2tou2	g i: m _2 . t ow _2
椅子	yi2ji2	j i: _2 . dz i: _2
植物	jik6mat6	dz i: k _6 . m 6 t _6
楚军	cho2gwan1	ts O: _2 . gw 6 n _1
楼房	lau4fong4	l 6w _4 . f O: N _4
概念	koi3nim6	k O:j _3 . n i: m _6
榆树	yu4syu6	j y: _4 . s y: _6
模式	mou4sik1	m ow _4 . s i: k _1
樱花	ying1fa1	j i: N _1 . f a: _1
次	chi3	ts i: _3
欢迎	fun1ying4	f u: n _1 . j i: N _4
欣赏	yan1seung2	j 6 n _1 . s 9: N _2
欧	au1	6w _1	N 6w _1
欧洲	au1jau1	6w _1 . dz 6w _1	N 6w _1 . dz 6w _1
欧盟	au1mang4	6w _1 . m 6 N _4	N 6w _1 . m 6 N _4
款待	fun2doi6	f u: n _2 . d O:j _6
止	ji2	dz i: _2
正	jing3	dz i: N _3
正义	jing3yi6	dz i: N _3 . j i: _6
正常	jing3seung4	dz i: N _3 . s 9: N _4
正式	jing3sik1	dz i: N _3 . s i: k _1
正虹	jing3hung4	dz i: N _3 . h u: N _4
正面	jing3min6	dz i: N _3 . m i: n _6
此	chi2	ts i: _2
武汉	mou5hon3	m ow _5 . h O: n _3
死	sei2	s ej _2
死亡	sei2mong4	s ej _2 . m O: N _4
死亡者	sei2mong4je2	s ej _2 . m O: N _4 . dz E: _2
死者	sei2je2	s ej _2 . dz E: _2
残疾	chaan4jat6	ts a: n _4 . dz 6 t _6
殖民	jik6man4	dz i: k _6 . m 6 n _4
段	tyun5	t y: n _5
毁于一旦	wai2yu1yat1daan2	w 6j _2 . j y: _1 . j 6 t _1 . d a: n _2
母亲	mou5chan1	m ow _5 . ts 6 n _1
每	mui5	m u:j _5
毒蛇	duk6se4	d u: k _6 . s E: _4
比	bei2	b ej _2
比较	bei2gaau3	b ej _2 . g a:w _3
比重	bei2chung5	b ej _2 . ts u: N _5
毕业生	bat1yip6sang1	b 6 t _1 . j i: p _6 . s 6 N _1	b 6 t _1 . j i: p _6 . s a: N _1
毛	mou4	m ow _4
毛病	mou4beng6	m ow _4 . b E: N _6
毛越寺	mou4yut6ji6	m ow _4 . j y: t _6 . dz i: _6
毫	hou4	h ow _4
氏	ji1	dz i: _1
民	man4	m 6 n _4
民众	man4jung3	m 6 n _4 . dz u: N _3
民工荒	man4gung1fong1	m 6 n _4 . g u: N _1 . f O: N _1
民族	man4juk6	m 6 n _4 . dz u: k _6
气体	hei3tai2	h ej _3 . t 6j _2
气温	hei3wan1	h ej _3 . w 6 n _1
气节	hei3jit3	h ej _3 . dz i: t _3
氧化剂	yeung5fa3jai1	j 9: N _5 . f a: _3 . dz 6j _1
水	seui2	s 9y _2
水准	seui2jeun2	s 9y _2 . dz 9: n _2
水平	seui2ping4	s 9y _2 . p i: N _4
水果	seui2gwo2	s 9y _2 . gw O: _2
水汽	seui2hei3	s 9y _2 . h ej _3
永安	wing5on1	w i: N _5 . N O: n _1	w i: N _5 . O: n _1
永远	wing5yun5	w i: N _5 . j y: n _5
求	kau4	k 6w _4
求学	kau4hok6	k 6w _4 . h O: k _6
求职者	kau4jik1je2	k 6w _4 . dz i: k _1 . dz E: _2
汇	wui6	w u:j _6
汉字	hon3ji6	h O: n _3 . dz i: _6
汉语	hon3yu5	h O: n _3 . j y: _5
汉语言	hon3yu5yin4	h O: n _3 . j y: _5 . j i: n _4
汕头	saan3tau4	s a: n _3 . t 6w _4
江都	gong1dou1	g O: N _1 . d ow _1
江风	gong1fung1	g O: N _1 . f u: N _1
污染	wu1yim5	w u: _1 . j i: m _5	w u: _1 . j i: n _5
污浊	wu1juk6	w u: _1 . dz u: k _6
汤	tong1	t O: N _1
汪	wong1	w O: N _1
汽车	hei3che1	h ej _3 . ts E: _1
沉沉	cham4cham4	ts 6 m _4 . ts 6 m _4
沙中	sa1jung1	s a: _1 . dz u: N _1
沙石	sa1sek6	s a: _1 . s E: k _6
沟通	kau1tung1	k 6w _1 . t u: N _1
河北省	ho4bak1saang2	h O: _4 . b 6 k _1 . s a: N _2
油	yau2	j 6w _2	j 6w _4
治理	ji6lei5	dz i: _6 . l ej _5
治疗	ji6liu4	dz i: _6 . l iw _4
泄漏	sit3lou6	s i: t _3 . l ow _6
泉州	chyun4jau1	ts y: n _4 . dz 6w _1
法国	faat3gwok3	f a: t _3 . gw O: k _3
法子	faat3ji2	f a: t _3 . dz i: _2
法官	faat3gun1	f a: t _3 . g u: n _1
法庭	faat3ting4	f a: t _3 . t i: N _4
波	bo1	b O: _1
波动	bo1dung6	b O: _1 . d u: N _6
波涛	bo1tou4	b O: _1 . t ow _4
注册	jyu3chaak3	dz y: _3 . ts a: k _3
泽	jaak6	dz a: k _6
洞	dung6	d u: N _6
津	jeun1	dz 9: n _1
洪方燕	hung4fong1yin1	h u: N _4 . f O: N _1 . j i: n _1
活	wut6	w u: t _6
活动	wut6dung6	w u: t _6 . d u: N _6
活跃	wut6yeuk6	w u: t _6 . j 9: k _6
流感	lau4gam2	l 6w _4 . g 6 m _2
流行	lau4hang4	l 6w _4 . h 6 N _4
流露	lau4lou6	l 6w _4 . l ow _6
济南	jai3naam4	dz 6j _3 . n a: m _4
浙江	jit3gong1	dz i: t _3 . g O: N _1
浪漫	long6maan6	l O: N _6 . m a: n _6
浪费	long6fai3	l O: N _6 . f 6j _3
浮动	fau4dung6	f 6w _4 . d u: N _6
海	hoi2	h O:j _2
海平面	hoi2ping4min2	h O:j _2 . p i: N _4 . m i: n _2	h O:j _2 . p i: N _4 . m i: n _6
海洋	hoi2yeung4	h O:j _2 . j 9: N _4
海阔天空	hoi2fut3tin1hung1	h O:j _2 . f u: t _3 . t i: n _1 . h u: N _1
海鲜	hoi2sin1	h O:j _2 . s i: n _1
消失	siu1sat1	s iw _1 . s 6 t _1
消耗	siu1hou3	s iw _1 . h ow _3
消费	siu1fai3	s iw _1 . f 6j _3
消费者	siu1fai3je2	s iw _1 . f 6j _3 . dz E: _2
消防	siu1fong4	s iw _1 . f O: N _4
涨	jeung2	dz 9: N _2	dz 9: N _3
涿州	deuk3jau1	d 9: k _3 . dz 6w _1
深	sam1	s 6 m _1	s 6 n _1
深一层	sam1yat1chang4	s 6 m _1 . j 6 t _1 . ts 6 N _4
深切	sam1chit3	s 6 m _1 . ts i: t _3
深厚	sam1hau5	s 6 m _1 . h 6w _5
深圳	sam1jan3	s 6 m _1 . dz 6 n _3	s 6 n _1 . dz 6 n _3
深圳市	sam1jan3si5	s 6 m _1 . dz 6 n _3 . s i: _5	s 6 n _1 . dz 6 n _3 . s i: _5
深沉	sam1cham4	s 6 m _1 . ts 6 m _4
添加剂	tim1ga1jai1	t i: m _1 . g a: _1 . dz 6j _1
清	cheng1	ts E: N _1	ts i: N _1
清代	ching1doi6	ts i: N _1 . d O:j _6
清拆	ching1chaak3	ts i: N _1 . ts a: k _3
清明	ching1ming4	ts i: N _1 . m i: N _4
清晨	ching1san4	ts i: N _1 . s 6 n _4
清楚	ching1cho2	ts i: N _1 . ts O: _2
清苦	ching1fu2	ts i: N _1 . f u: _2
清远	ching1yun5	ts i: N _1 . j y: n _5
清远市	ching1yun5si5	ts i: N _1 . j y: n _5 . s i: _5
渐渐	jim6jim6	dz i: m _6 . dz i: m _6
温	wan1	w 6 n _1
温室	wan1sat1	w 6 n _1 . s 6 t _1
温室气体	wan1sat1hei3tai2	w 6 n _1 . s 6 t _1 . h ej _3 . t 6j _2
温馨	wan1hing1	w 6 n _1 . h i: N _1
港	gong2	g O: N _2
港人	gong2yan4	g O: N _2 . j 6 n _4
渲染	hyun1yim5	h y: n _1 . j i: m _5
游	yau4	j 6w _4
游人	yau4yan4	j 6w _4 . j 6 n _4
游客	yau4haak3	j 6w _4 . h a: k _3
游览	yau4laam5	j 6w _4 . l a: m _5
游走	yau4jau2	j 6w _4 . dz 6w _2
渺小	miu5siu2	m iw _5 . s iw _2
湖	wu4	w u: _4
湖南	wu4naam4	w u: _4 . n a: m _4
湛江	jaam3gong1	dz a: m _3 . g O: N _1
湛江市	jaam3gong1si5	dz a: m _3 . g O: N _1 . s i: _5
源	yun4	j y: n _4
源于	yun4yu1	j y: n _4 . j y: _1
源远流长	yun4yun5lau4cheung4	j y: n _4 . j y: n _5 . l 6w _4 . ts 9: N _4
溥明儒	pou2ming4yu4	p ow _2 . m i: N _4 . j y: _4
滋味	ji1mei6	dz i: _1 . m ej _6
滑雪	waat6syut3	w a: t _6 . s y: t _3
满足	mun5juk1	m u: n _5 . dz u: k _1
满足感	mun5juk1gam2	m u: n _5 . dz u: k _1 . g 6 m _2	m u: n _5 . dz u: k _1 . g 6 n _2
演奏	yin2jau3	j i: n _2 . dz 6w _3
潜江	chim4gong1	ts i: m _4 . g O: N _1
潮	chiu4	ts iw _4
澜石区	laan4sek6keui1	l a: n _4 . s E: k _6 . k 9y _1
澳州	ou3jau1	N ow _3 . dz 6w _1	ow _3 . dz 6w _1
澳洲	ou3jau1	ow _3 . dz 6w _1	N ow _3 . dz 6w _1
澳门	ou3mun2	ow _3 . m u: n _2	N ow _3 . m u: n _2
激烈	gik1lit6	g i: k _1 . l i: t _6
灌	gun3	g u: n _3
火种	fo2jung2	f O: _2 . dz u: N _2
火龙果实	fo2lung4gwo3sat6	f O: _2 . l u: N _4 . gw O: _3 . s 6 t _6
灵	leng4	l E: N _4
灵性	leng4sing3	l E: N _4 . s i: N _3
灵感	ling4gam2	l i: N _4 . g 6 m _2
灾害	joi1hoi6	dz O:j _1 . h O:j _6
灾难	joi1naan6	dz O:j _1 . n a: n _6
炫耀	yun4yiu6	j y: n _4 . j iw _6
点	dim2	d i: m _2
点心	dim2sam1	d i: m _2 . s 6 m _1
点燃	dim2yin4	d i: m _2 . j i: n _4
点钞机	dim2chaau1gei1	d i: m _2 . ts a:w _1 . g ej _1
点钟	dim2jung1	d i: m _2 . dz u: N _1
烦恼	faan4nou5	f a: n _4 . n ow _5
热带	yit6daai3	j i: t _6 . d a:j _3
热带雨林	yit6daai3yu5lam4	j i: t _6 . d a:j _3 . j y: _5 . l 6 m _4
热情	yit6ching4	j i: t _6 . ts i: N _4
焦	jiu1	dz iw _1
然	yin4	j i: n _4
然而	yin4yi4	j i: n _4 . j i: _4
煤气	mui4hei3	m u:j _4 . h ej _3
照说	jiu3seui3	dz iw _3 . s 9y _3
照顾	jiu3gu3	dz iw _3 . g u: _3
熟	suk6	s u: k _6
熟悉	suk6sik1	s u: k _6 . s i: k _1
熬夜	ngou4ye6	6w _4 . j E: _2	N 6w _4 . j E: _2	N ow _4 . j E: _6	ow _4 . j E: _6
燃料	yin4liu2	j i: n _4 . l iw _2
爱	ngoi3	N O:j _3
爱上	oi3seung5	N O:j _3 . s 9: N _5	O:j _3 . s 9: N _5
爱好	ngoi3hou3	N O:j _3 . h ow _3
爱恋	oi3lyun2	N O:j _3 . l y: n _2	O:j _3 . l y: n _2
爱情	ngoi3ching4	N O:j _3 . ts i: N _4
爱护	oi3wu6	N O:j _3 . w u: _6	O:j _3 . w u: _6
爱滋病	ngoi3ji1beng6	N O:j _3 . dz i: _1 . b E: N _6
爵士乐	jeuk3si6ngok6	dz 9: k _3 . s i: _6 . N O: k _6
父	fu6	f u: _6
父亲	fu6chan1	f u: _6 . ts 6 n _1
父母	fu6mou5	f u: _6 . m ow _5
片	pin3	p i: n _3
牛	ngau4	N 6w _4
牛奶	ngau4naai5	N 6w _4 . n a:j _5
牛舌	ngau4sit3	N 6w _4 . s i: t _3
牡丹江	maau5daan1gong1	m a:w _5 . d a: n _1 . g O: N _1
牢	lou4	l ow _4
物质	mat6jat1	m 6 t _6 . dz 6 t _1
特别	dak6bit6	d 6 k _6 . b i: t _6
特色	dak6sik1	d 6 k _6 . s i: k _1
牺牲	hei1sang1	h ej _1 . s 6 N _1
犯	faan6	f a: n _6
犯罪	faan6jeui6	f a: n _6 . dz 9y _6
状	jong6	dz O: N _6
犹如	yau4yu4	j 6w _4 . j y: _4
狂蜂浪蝶	kwong4fung1long6dip6	kw O: N _4 . f u: N _1 . l O: N _6 . d i: p _6
独立	duk6lap6	d u: k _6 . l 6 p _6
狭	haap6	h a: p _6
猝不及防	chyut3bat1kap6fong4	ts y: t _3 . b 6 t _1 . k 6 p _6 . f O: N _4
猫头鹰	maau1tau4ying1	m a:w _1 . t 6w _4 . j i: N _1
玉林	yuk6lam4	j y: k _6 . l 6 m _4
王	wong4	w O: N _4
王佳琬	wong4gaai1yun2	w O: N _4 . g a:j _1 . j y: n _2
王国	wong4gwok3	w O: N _4 . gw O: k _3
王威廷	wong4wai1ting4	w O: N _4 . w 6j _1 . t i: N _4
环保	waan4bou2	w a: n _4 . b ow _2
环境	waan4ging2	w a: n _4 . g i: N _2
现今	yin6gam1	j i: n _6 . g 6 m _1
现代	yin6doi6	j i: n _6 . d O:j _6
现代人	yin6doi6yan4	j i: n _6 . d O:j _6 . j 6 n _4
现在	yin6joi6	j i: n _6 . dz O:j _6
现场	yin6cheung4	j i: n _6 . ts 9: N _4
现实	yin6sat6	j i: n _6 . s 6 t _6
现时	yin6si4	j i: n _6 . s i: _4
玲	ling4	l i: N _4
玻璃	bo1lei1	b O: _1 . l ej _1
珊瑚	saan1wu4	s a: n _1 . w u: _4
珍惜	jan1sik1	dz 6 n _1 . s i: k _1
珍禽异兽	jan1kam4yi6sau3	dz 6 n _1 . k 6 m _4 . j i: _6 . s 6w _3
理事	lei5si6	l ej _5 . s i: _6
理念	lei5nim6	l ej _5 . n i: m _6
理性	lei5sing3	l ej _5 . s i: N _3
理想	lei5seung2	l ej _5 . s 9: N _2
理料	lei5liu6	l ej _5 . l iw _6
理解力	lei5gaai2lik6	l ej _5 . g a:j _2 . l i: k _6
瑞典人	seui6din2yan4	s 9y _6 . d i: n _2 . j 6 n _4
瓴	ling4	l i: N _4
甚	sam6	s 6 m _6
生	saang1	s a: N _1	s 6 N _1
生产	sang1chaan2	s 6 N _1 . ts a: n _2
生僻	saang1pik1	s a: N _1 . p i: k _1
生命	sang1ming6	s 6 N _1 . m i: N _6
生命力	sang1ming6lik6	s 6 N _1 . m i: N _6 . l i: k _6	s a: N _1 . m i: N _6 . l i: k _6
生存	sang1chyun4	s 6 N _1 . ts y: n _4	s a: N _1 . ts y: n _4
生态	sang1taai3	s 6 N _1 . t a:j _3	s a: N _1 . t a:j _3
生意	saang1yi3	s a: N _1 . j i: _3
生活	sang1wut6	s 6 N _1 . w u: t _6
生活环境	sang1wut6waan4ging2	s 6 N _1 . w u: t _6 . w a: n _4 . g i: N _2	s a: N _1 . w u: t _6 . w a: n _4 . g i: N _2
生理	sang1lei5	s 6 N _1 . l ej _5	s a: N _1 . l ej _5
生病	saang1beng6	s 6 N _1 . b E: N _6	s a: N _1 . b E: N _6
用	yung6	j y: N _6
用心	yung6sam1	j y: N _6 . s 6 m _1
用户	yung6wu6	j y: N _6 . w u: _6	j y: N _6 . w u: _5
用来	yung6loi4	j y: N _6 . l O:j _4
田	tin4	t i: n _4
由	yau4	j 6w _4
由于	yau4yu1	j 6w _4 . j y: _1
电信	din6seun3	d i: n _6 . s 9: n _3
电力	din6lik6	d i: n _6 . l i: k _6
电器	din6hei3	d i: n _6 . h ej _3
电子	din6ji2	d i: n _6 . dz i: _2
电影	din6ying2	d i: n _6 . j i: N _2
电池	din6chi4	d i: n _6 . ts i: _4
电站	din6jaam6	d i: n _6 . dz a: m _6
电脑	din6nou5	d i: n _6 . n ow _5
电讯	din6seun3	d i: n _6 . s 9: n _3
电话	din6wa2	d i: n _6 . w a: _2
男人	naam4yan2	n a: m _4 . j 6 n _2
男士	naam4si6	n a: m _4 . s i: _6
界	gaai3	g a:j _3
留	lau4	l 6w _4
留下来	lau4ha6loi4	l 6w _4 . h a: _6 . l O:j _4
留言	lau4yin4	l 6w _4 . j i: n _4
畜	chuk1	ts u: k _1
略	leuk6	l 9: k _6
略为	leuk6wai4	l 9: k _6 . w 6j _4
疏导	so1dou6	s O: _1 . d ow _6
疏忽	so1fat1	s O: _1 . f 6 t _1
疗效	liu4haau6	l iw _4 . h a:w _6
疫苗	yik6miu4	j i: k _6 . m iw _4
疾病	jat6beng6	dz 6 t _6 . b E: N _6
病	beng6	b E: N _6
病人	beng6yan4	b E: N _6 . j 6 n _4
病患者	beng6waan6je2	b E: N _6 . w a: n _6 . dz E: _2
病毒	beng6duk6	b E: N _6 . d u: k _6
病魔	beng6mo1	b E: N _6 . m O: _1
症	jing1	dz i: N _1	dz i: N _3
痕迹	han4jik1	h 6 n _4 . dz i: k _1
痛苦	tung3fu2	t u: N _3 . f u: _2
癌症	ngaam4jing3	N a: m _4 . dz i: N _1	N a: m _4 . dz i: N _3
登山	dang1saan1	d 6 N _1 . s a: n _1
白山	baak6saan1	b a: k _6 . s a: n _1
白蒙蒙	baak6mung4mung4	b a: k _6 . m u: N _4 . m u: N _4	b a: k _6 . m u: N _1 . m u: N _1
百分之	baak3fan6ji1	b a: k _3 . f 6 n _6 . dz i: _1
百分百	baak3fan6baak3	b a: k _3 . f 6 n _6 . b a: k _3
百色	baak3sik1	b a: k _3 . s i: k _1
百转千迴	baak3jyun2chin1wui4	b a: k _3 . dz y: n _2 . ts i: n _1 . w u:j _4	b a: k _3 . dz y: n _3 . ts i: n _1 . w u:j _4
的	dik1	d i: k _1
的人	dik1yan4	d i: k _1 . j 6 n _4
皮	pei4	p ej _4
皮肤	pei4fu1	p ej _4 . f u: _1
皮肤病	pei4fu1beng6	p ej _4 . f u: _1 . b E: N _6
皮脂	pei4ji1	p ej _4 . dz i: _1
盈利	ying4lei6	j i: N _4 . l ej _6
监察	gaam1chaat3	g a: m _1 . ts a: t _3
监管	gaam1gun2	g a: m _1 . g u: n _2
监视	gaam1si6	g a: m _1 . s i: _6
