ሀም	h1m6	h a m
ልካላታለች	l6k4l4t4l1c6	l 1 . k a l . l a . t a l . l @ tS tS
ልኬ	l6k5	l 1 k . k e
ልኬለታለሁ	l6k5l1t4l1h2	l 1 k . k e l . l @ . t a l . l @ . h u
ልኬልሀለሁና	l6k5l6h1l1h2n4	l 1 k . k e l . l 1 . h a l . l @ . h u n . n a
ልኬው	l6k5w6	l 1 k . k e w
ልኬያለሁ	l6k5y4l1h2	l 1 k . k e . j a l . l @ . h u
ልኮ	l6k7	l 1 . k o
ልኮልኛል	l6k7l6J4l6	l 1 . k o l . l 1 J . J a l
ልኮልኝ	l6k7l6J6	l 1 . k o l . l 1 J
ልወስን	l6w1s6n6	l 1 . w @ s . s 1 n
ልወስዳት	l6w1s6d4t6	l 1 . w @ s . d a t
ልወቀው	l6w1K1w6	l 1 . w @ . k> @ w
ልዋረድ	l6w4r1d6	l 1 w . w a . r @ d	l 1 w . w a r . r @ d
ልውደቅ	l6w6d1K6	l 1 w . d @ k>
ልደታረጉልኝ	l6d1t4r1g2l6J6	l 1 . d @ . t a . r @ . g u . l 1 J
ልደታን	l6d1t4n6	l 1 . d @ . t a n
ልደውልላችሁ	l6d1w6l6l4c6h2	l 1 . d @ w . w 1 . l 1 l . l a tS . tS 1 . h u
ልደውልና	l6d1w6l6n4	l 1 d . d @ w . w 1 . l 1 n . n a	l 1 . d @ w . w 1 . l 1 n . n a
ልጅህን	l6j6h6n6	l 1 dZ . h 1 n
ልጅዮም	l6j6y7m6	l 1 . dZ 1 j . j o m
ልጆቼም	l6j7c5m6	l 1 . dZ o tS . tS e m
ልጆቼን	l6j7c5n6	l 1 . dZ o tS . tS e n
ልገምግምልሽ	l6g1m6g6m6l6sh6	l 1 . g @ m . g 1 . m 1 l . l 1 S
ልጠይቃቸው	l6T1y6K4c1w6	l 1 . t> @ j . j 1 . k> a tS . tS @ w
ልጠይቋት	l6T1y6Kw4t6	l 1 t> . t> @ j . j 1 . k>w a t
ልጽፍልሽ	l6S6f6l6sh6	l 1 . s> 1 . f 1 l . l 1 S
ልፈታ	l6f1t4	l 1 f . f @ . t a	l 1 . f @ . t a
ሐሜት	H1m5t6	h a . m e t
ሐረግዬ	H1r1g6y5	h a . r @ . g 1 j . j e
ሐዉዬ	H1w2y5	h a w . w u j . j e
መሄድህ	m1h5d6h6	m @ . h e . d 1 h
መሄጃም	m1h5j4m6	m @ . h e . dZ a m
መሆኑማ	m1h7n2m4	m @ . h o . n u m . m a
መሆናችሁ	m1h7n4c6h2	m @ . h o . n a tS . tS 1 . h u
መለመናችን	m1l1m1n4c6n6	m @ l . l @ . m @ . n a tS . tS 1 n
መለሰን	m1l1s1n6	m @ l . l @ . s @ n
መለሰው	m1l1s1w6	m @ l . l @ . s @ w
መለስተኛ	m1l1s6t1J4	m @ l . l @ s . t @ J . J a
መለኪያ	m1l1k3y4	m @ . l @ k . k i . j a
መለያህ	m1l1y4h6	m @ l . l @ . j a h	m @ . l @ j . j a h
መልሱልኝ	m1l6s2l6J6	m @ l . l 1 . s u l . l 1 J
መልሶልኛል	m1l6s7l6J4l6	m @ l . l 1 . s o l . l 1 J . J a l
መልሶት	m1l6s7t6	m @ l . l 1 . s o t	m @ l . s o t
መልሷ	m1l6sw4	m @ l . sw a
መልዕክቱ	m1l6;6k6t2	m @ l . ? 1 k . t u
መልዕክታቸው	m1l6;6k6t4c1w6	m @ l . ? 1 k . t a tS . tS @ w
መመሪያ	m1m1r3y4	m @ m . m @ . r i . j a
መመቸቱ	m1m1c1t2	m @ m . m @ . tS @ . t u
መመካከሩ	m1m1k4k1r2	m @ m . m @ . k a . k @ . r u
መምህራችን	m1m6h6r4c6n6	m @ m . m 1 . h 1 . r a tS . tS 1 n
መረሬ	m1r1r5	m @ . r @ . r e
መረበሽ	m1r1b1sh6	m @ . r @ b . b @ S	m @ r . r @ . b @ S
መረጃሽን	m1r1j4sh6n6	m @ r . r @ . dZ a . S 1 n
መረጣ	m1r1T4	m @ . r @ . t> a
መሪዎች	m1r3w7c6	m @ . r i . w o tS tS
መሪየም	m1r3y1m6	m @ . r i . j @ m
መራርጠህ	m1r4r6T1h6	m @ . r a r . t> @ h
መሬቱም	m1r5t2m6	m @ . r e . t u m m
መሬታቸው	m1r5t4c1w6	m @ . r e . t a tS . tS @ w
መሬታቸውንም	m1r5t4c1w6n6m6	m @ . r e . t a tS . tS @ w . n 1 m m
መርከሱን	m1r6k1s2n6	m @ r . k @ . s u n
መርጠህ	m1r6T1h6	m @ r . t> @ h
መሰለችኝ	m1s1l1c6J6	m @ s . s @ . l @ tS . tS 1 J J
መሰለኛ	m1s1l1J4	m @ s . s @ . l @ J . J a
መሰልጠን	m1s1l6T1n6	m @ . s @ l . t> @ n
መሰሎት	m1s1l7t6	m @ s . s @ . l o t
መሰቃየት	m1s1K4y1t6	m @ s . s @ . k> a . j @ t
መሰብሰብም	m1s1b6s1b6m6	m @ s . s @ b . s @ . b 1 m m
መሰካት	m1s1k4t6	m @ s . s @ . k a t
መሳምን	m1s4m6n6	m @ s . s a . m 1 n	m @ . s a . m 1 n
መሳትም	m1s4t6m6	m @ s . s a . t 1 m	m @ . s a . t 1 m
መሳካት	m1s4k4t6	m @ s . s a . k a t
መስሎሻል	m1s6l7sh4l6	m @ s . l o . S a l
መስመርህን	m1s6m1r6h6n6	m @ s . m @ . r 1 . h 1 n	m @ s . m @ r . h 1 n
መስሚያቸው	m1s6m3y4c1w6	m @ s . m i . j a tS . tS @ w
መስት	m1s6t6	m @ s t
መስዋዕቱን	m1s6w4;6t2n6	m @ s . w a ? . t u n
መስየው	m1s6y1w6	m @ . s 1 j . j @ w
መስዬ	m1s6y5	m @ . s 1 j . j e
መስገድ	m1s6g1d6	m @ s . g @ d
መስጠታቸው	m1s6T1t4c1w6	m @ s . t> @ . t a tS . tS @ w
መስፈርቶቹን	m1s6f1r6t7c2n6	m @ s . f @ r . t o tS . tS u n
መሸ	m1sh1	m @ S . S @
መሸባት	m1sh1b4t6	m @ S . S @ b . b a t
መሸኘት	m1sh1J1t6	m @ . S @ J . J @ t	m @ S . S @ . J @ t
መሸጥህ	m1sh1T6h6	m @ . S @ . t> 1 h	m @ S . S @ . t> 1 h
መሽቁር	m1sh6K2r6	m @ S . k> u r
መቀቀያው	m1K1K1y4w6	m @ k> . k> @ . k> @ . j a w	m @ . k> @ k> . k> @ . j a w
መቀያየሩ	m1K1y4y1r2	m @ k> . k> @ . j a . j @ . r u
መቀደሻው	m1K1d1sh4w6	m @ . k> @ d . d @ . S a w	m @ k> . k> @ . d @ . S a w
መቂ	m1K3	m @ . k> i
መቅለሉ	m1K6l1l2	m @ k> . l @ . l u
መቅለሉን	m1K6l1l2n6	m @ k> . l @ . l u n
መቅረትሽ	m1K6r1t6sh6	m @ k> . r @ . t 1 S
መቋረጥ	m1Kw4r1T6	m @ k>w . k>w a . r @ t>
መበሳጨት	m1b1s4C1t6	m @ b . b @ . s a . tS> @ t
መብቱ	m1b6t2	m @ b . t u
መተሽዋል	m1t1sh6w4l6	m @ t . t @ S . w a l
መቱን	m1t2n6	m @ t . t u n
መታወቂያችንን	m1t4w1K3y4c6n6n6	m @ t . t a . w @ . k> i . j a tS . tS 1 . n 1 n
መታደል	m1t4d1l6	m @ t . t a . d @ l
መታፈስም	m1t4f1s6m6	m @ t . t a . f @ . s 1 m m
መትቶ	m1t6t7	m @ t . t 1 . t o
መቶላታል	m1t7l4t4l6	m @ t . t o l . l a . t a l
መቶም	m1t7m6	m @ t . t o m m
መቶኛ	m1t7J4	m @ . t o J . J a
መቸከል	m1c1k1l6	m @ . tS @ k . k @ l
መነሳሳት	m1n1s4s4t6	m @ n . n @ . s a . s a t
መናገሩን	m1n4g1r2n6	m @ n . n a . g @ . r u n
መናገርኮ	m1n4g1r6k7	m @ n . n a . g @ . r 1 k . k o
መናፈሱን	m1n4f1s2n6	m @ n . n a . f @ . s u n
መናፈቅ	m1n4f1K6	m @ . n a . f @ k>	m @ n . n a . f @ k>
መንከራተቷ	m1n6k1r4t1tw4	m @ n . k @ . r a . t @ . tw a
መንገሩ	m1n6g1r2	m @ n . g @ . r u
መንግስታዊ	m1n6g6s6t4w3	m @ n . g 1 s . t a . w i
መንፈሱን	m1n6f1s2n6	m @ n . f @ . s u n
መንፈሳዊው	m1n6f1s4w3w6	m @ n . f @ . s a . w i w
መንፈስሽ	m1n6f1s6sh6	m @ n . f @ . s 1 S
መከርኳቸው	m1k1r6kw4c1w6	m @ k . k @ r . kw a tS . tS @ w
መከበር	m1k1b1r6	m @ k . k @ . b @ r
መኩ	m1k2	m @ k . k u
መኩሪያው	m1k2r3y4w6	m @ . k u . r i . j a w
መኪ	m1k3	m @ k . k i
መኪናሽ	m1k3n4sh6	m @ . k i . n a S
መኪናቸው	m1k3n4c1w6	m @ . k i . n a tS . tS @ w
መኪናውማ	m1k3n4w6m4	m @ . k i . n a . w 1 m . m a
መኪናውም	m1k3n4w6m6	m @ . k i . n a . w 1 m m
መኪናዬ	m1k3n4y5	m @ . k i . n a . j e
መኪኖችህ	m1k3n7c6h6	m @ . k i . n o tS . tS 1 h
መክሮልኝ	m1k6r7l6J6	m @ k . r o l . l 1 J J
መክሰር	m1k6s1r6	m @ k . s @ r
መኮማተር	m1k7m4t1r6	m @ k . k o . m a . t @ r
መኮረጅ	m1k7r1j6	m @ . k o r . r @ dZ
መወሰድ	m1w1s1d6	m @ w . w @ . s @ d
መዋሉ	m1w4l2	m @ w . w a . l u	m @ . w a . l u
መዋልሽ	m1w4l6sh6	m @ . w a . l 1 S
መዋቀር	m1w4K1r6	m @ w . w a . k> @ r
መዋዋል	m1w4w4l6	m @ w . w a . w a l
መውሊዱ	m1w6l3d2	m @ w . l i . d u
መውደቅም	m1w6d1K6m6	m @ w . d @ . k> 1 m m
መውጣታቸውን	m1w6T4t4c1w6n6	m @ w . t> a . t a tS . tS @ . w 1 n
መዕሪብ	m1;6r3b6	m @ ? . r i b
መዘሪያው	m1z1r3y4w6	m @ z . z @ . r i . j a w
መዘናጋት	m1z1n4g4t6	m @ z . z @ . n a . g a t
መዝነቡ	m1z6n1b2	m @ z . n @ . b u
መዝነቡን	m1z6n1b2n6	m @ z . n @ . b u n
መዝገብን	m1z6g1b6n6	m @ z . g @ . b 1 n
መደናገጥ	m1d1n4g1T6	m @ d . d @ . n a . g @ t>
መደንገጥ	m1d1n6g1T6	m @ . d @ n . g @ t>
መደወልማ	m1d1w1l6m4	m @ d . d @ . w @ . l 1 m . m a	m @ . d @ w . w @ . l 1 m . m a
መደወልሽን	m1d1w1l6sh6n6	m @ . d @ w . w @ . l 1 . S 1 n
መዳመጫው	m1d4m1C4w6	m @ . d a . m @ . tS> a w
መድሀኒዐለምን	m1d6h1n3;1l1m6n6	m @ d . h a . n i . ? a . l @ . m 1 n
መድፈቅ	m1d6f1K6	m @ d . f @ k>
መገናኘትማ	m1g1n4J1t6m4	m @ g . g @ . n a . J @ t . t 1 m . m a
መገኘቱ	m1g1J1t2	m @ g . g @ J . J @ . t u
መጋረጃ	m1g4r1j4	m @ g . g a . r @ . dZ a
መጋረጃው	m1g4r1j4w6	m @ g . g a . r @ . dZ a w
መጋረጃውስ	m1g4r1j4w6s6	m @ g . g a . r @ . dZ a . w 1 s s
መጋኛ	m1g4J4	m @ g . g a J . J a
መግሪብ	m1g6r3b6	m @ g . r i b
መግሪብም	m1g6r3b6m6	m @ g . r i . b 1 m m
መግባታችን	m1g6b4t4c6n6	m @ g . b a . t a tS . tS 1 n
መግባትማ	m1g6b4t6m4	m @ g . b a . t 1 m . m a
መግዣ	m1g6Z4	m @ g . Z a
መግደል	m1g6d1l6	m @ g . d @ l
መጎናፀፊያ	m1g7n4tz1f3y4	m @ g . g o . n a . s> @ . f i . j a
መጎዳትም	m1g7d4t6m6	m @ g . g o . d a . t 1 m
መጠቀሙን	m1T1K1m2n6	m @ t> . t> @ . k> @ . m u n
መጠቃት	m1T1K4t6	m @ t> . t> @ . k> a t
መጠንከርም	m1T1n6k1r6m6	m @ . t> @ n . k @ . r 1 m m
መጠየቅና	m1T1y1K6n4	m @ t> . t> @ . j @ . k> 1 n . n a	m @ . t> @ j . j @ . k> 1 n . n a
መጠገን	m1T1g1n6	m @ t> . t> @ . g @ n	m @ . t> @ g . g @ n
መጣላቱም	m1T4l4t2m6	m @ t> . t> a . l a . t u m m
መጣም	m1T4m6	m @ t> . t> a m m
መጨረሻውን	m1C1r1sh4w6n6	m @ . tS> @ r . r @ . S a . w 1 n
መጨነቅ	m1C1n1K6	m @ tS> . tS> @ . n @ k>
መጽሄቴን	m1S6h5t5n6	m @ . s> 1 . h e . t e n
መፅደቁ	m1tz6d1K2	m @ s> . d @ . k> u
መፍራት	m1f6r4t6	m @ f . r a t
መፍቻ	m1f6c4	m @ f . tS a
መፍጠኑ	m1f6T1n2	m @ f . t> @ . n u
ሙሉም	m2l2m6	m u . l u m m
ሙሉስ	m2l2s6	m u . l u s s
ሙሉጌታም	m2l2g5t4m6	m u . l u . g e . t a m
ሙሉጌታሳ	m2l2g5t4s4	m u . l u . g e . t a s . s a
ሙስብሀ	m2s6b6h1	m u s . b 1 . h a
ሙቀቱን	m2K1t2n6	m u . k> @ . t u n
ሙቀቱንም	m2K1t2n6m6	m u . k> @ . t u . n 1 m
ሙቺ	m2c3	m u . tS i
ሙናዬ	m2n4y5	m u . n a . j e	m u . n a j . j e
ሙናዬስ	m2n4y5s6	m u . n a . j e s s	m u . n a j . j e s s
ሙያዬን	m2y4y5n6	m u . j a . j e n
ሙጭጭ	m2C6C6	m u . tS> 1 tS> tS>
ሚሊዮንም	m3l3y7n6m6	m i . l i . j o . n 1 m
ሚልየኑ	m3l6y1n2	m i l . j @ . n u
ሚሚስ	m3m3s6	m i m . m i s s
ሚሞሪሽንም	m3m7r3sh6n6m6	m i . m o . r i . S 1 . n 1 m m
ሚረጋጋ	m3r1g4g4	m i r . r @ . g a g . g a
ሚሰጥሽ	m3s1T6sh6	m i . s @ . t> 1 S	m i s . s @ t> . t> 1 S
ሚስቱም	m3s6t2m6	m i s . t u m
ሚስትዮዋ	m3s6t6y7w4	m i s . t 1 j . j o . w a
ሚክሱን	m3k6s2n6	m i k . s u n
ሚክስ	m3k6s6	m i . k 1 s
ሚዜሽ	m3z5sh6	m i . z e S
ሚዜዋ	m3z5w4	m i . z e . w a
ሚጣዬም	m3T4y5m6	m i t> . t> a j . j e m m
ሚጣዬስ	m3T4y5s6	m i t> . t> a . j e s s
ማህዲን	m4h6d3n6	m a . h 1 . d i n
ማመስገን	m4m1s6g1n6	m a . m @ s . g @ n
ማሙሽንም	m4m2sh6n6m6	m a . m u . S 1 . n 1 m
ማማሩ	m4m4r2	m a . m a . r u
ማማስ	m4m4s6	m a m . m a s s
ማምረቱን	m4m6r1t2n6	m a m . r @ . t u n
ማረም	m4r1m6	m a r . r @ m
ማረስ	m4r1s6	m a . r @ s
ማረድ	m4r1d6	m a . r @ d
ማረጋጋት	m4r1g4g4t6	m a r . r @ . g a . g a t
ማሩን	m4r2n6	m a . r u n
ማሰሪያዬ	m4s1r3y4y5	m a s . s @ r . r i . j a . j e	m a . s @ . r i . j a . j e
ማስመዝገብ	m4s6m1z6g1b6	m a s . m @ z . g @ b
ማስቀመጡ	m4s6K1m1T2	m a s . k> @ m . m @ . t> u
ማስቀሰም	m4s6K1s1m6	m a s . k> @ s . s @ m
ማስተላለፍ	m4s6t1l4l1f6	m a s . t @ . l a . l @ f
ማስተር	m4s6t1r6	m a s . t @ r
ማስተርስ	m4s6t1r6s6	m a s . t @ r s
ማስተርስሽን	m4s6t1r6s6sh6n6	m a s . t @ r . s 1 . S 1 n
ማስተርሽን	m4s6t1r6sh6n6	m a s . t @ r . S 1 n
ማስታወስ	m4s6t4w1s6	m a s . t a . w @ s
ማስታወሻዎች	m4s6t4w1sh4w7c6	m a s . t a . w @ . S a . w o tS tS
ማስኬድ	m4s6k5d6	m a s . k e d
ማስኮረጅ	m4s6k7r1j6	m a s . k o r . r @ dZ
ማስጠንቀቅ	m4s6T1n6K1K6	m a s . t> @ n . k> @ k>
ማስጠጋታቸው	m4s6T1g4t4c1w6	m a s . t> @ g . g a . t a tS . tS @ w
ማሽላ	m4sh6l4	m a . S 1 l . l a
ማሽላና	m4sh6l4n4	m a . S 1 l . l a n . n a
ማባከኛ	m4b4k1J4	m a . b a . k @ J . J a
ማብላት	m4b6l4t6	m a b . l a t
ማቲዎስ	m4t3w7s6	m a . t i . w o s
ማታኮ	m4t4k7	m a . t a k . k o
ማትሱ	m4t6s2	m a t . s u
ማትሱን	m4t6s2n6	m a t . s u n
ማትስን	m4t6s6n6	m a t . s 1 n
ማናደድም	m4n4d1d6m6	m a n . n a . d @ . d 1 m m
ማናጀር	m4n4j1r6	m a . n a . dZ @ r
ማንቼስተርማ	m4n6c5s6t1r6m4	m a n . tS e s . t @ . r 1 m . m a
ማንቼስተርምኮ	m4n6c5s6t1r6m6k7	m a n . tS e s . t @ . r 1 m . m 1 k . k o
ማንችስተርስ	m4n6c6s6t1r6s6	m a n . tS 1 s . t @ . r 1 s s
ማንና	m4n6n4	m a n . n 1 n . n a
ማንደፍሮ	m4n6d1f6r7	m a n . d @ f . r o
ማንጎ	m4n6g7	m a n . g o
ማኪየስ	m4k3y1s6	m a . k i j . j @ s
ማክ	m4k6	m a k
ማክሰኚት	m4k6s1J3t6	m a k . s @ J . J i t
ማዘሩ	m4z1r2	m a . z @ . r u
ማዘሬ	m4z1r5	m a . z @ . r e
ማዘርሳ	m4z1r6s4	m a . z @ . r 1 s . s a
ማይነስ	m4y6n1s6	m a j . n @ s
ማይክሮ	m4y6k6r7	m a j . k 1 . r o
ማዲ	m4d3	m a . d i
ማዳበሪያው	m4d4b1r3y4w6	m a . d a . b @ . r i . j a w
ማድረስ	m4d6r1s6	m a d . r @ s
ማድረጉን	m4d6r1g2n6	m a d . r @ . g u n
ማድሪድ	m4d6r3d6	m a d . r i d
ማድከም	m4d6k1m6	m a d . k @ m
ማፈላለጊያ	m4f1l4l1g3y4	m a f . f @ . l a . l @ . g i . j a
ማፈላለግ	m4f1l4l1g6	m a f . f @ . l a . l @ g
ማፊ	m4f3	m a . f i
ማፍጠጥ	m4f6T1T6	m a f . t> @ t>
ሜሴጅስ	m5s5j6s6	m e . s e . dZ 1 s s
ሜዳማ	m5d4m4	m e . d a m . m a
ምህረትም	m6h6r1t6m6	m 1 h . r @ . t 1 m m
ምርቃቱም	m6r6K4t2m6	m 1 r . r 1 . k> a . t u m m
ምርቃታችሁ	m6r6K4t4c6h2	m 1 r . r 1 . k> a . t a tS . tS 1 . h u
ምርቃታችን	m6r6K4t4c6n6	m 1 r . r 1 . k> a . t a tS . tS 1 n
ምርቃትሽ	m6r6K4t6sh6	m 1 r . r 1 . k> a . t 1 S
ምርቱን	m6r6t2n6	m 1 r . t u n
ምርቶቹን	m6r6t7c2n6	m 1 r . t o tS . tS u n
ምርጡ	m6r6T2	m 1 r . t> u
ምሳነሽ	m6s4n1sh6	m 1 . s a . n @ S
ምሳዬንም	m6s4y5n6m6	m 1 . s a . j e . n 1 m m
ምስርዬ	m6s6r6y5	m 1 s . s 1 . r 1 j . j e
ምስጋናውን	m6s6g4n4w6n6	m 1 s . g a . n a . w 1 n
ምታት	m6t4t6	m 1 . t a t
ምትክ	m6t6k6	m 1 . t 1 k k
ምች	m6c6	m 1 tS tS
ምናልሽ	m6n4l6sh6	m 1 . n a l S
ምናምኑም	m6n4m6n2m6	m 1 . n a . m 1 . n u m m
ምናምኔን	m6n4m6n5n6	m 1 . n a . m 1 . n e n
ምናምኖቹም	m6n4m6n7c2m6	m 1 . n a . m 1 . n o tS . tS u m m
ምናሴም	m6n4s5m6	m 1 . n a . s e m m
ምንቴን	m6n6t5n6	m 1 n . t e n
ምንቴንም	m6n6t5n6m6	m 1 n . t e . n 1 m m
ምንጩን	m6n6C2n6	m 1 n . tS> u n
ምኖችህ	m6n7c6h6	m 1 . n o tS . tS 1 h
ምኞቴ	m6J7t5	m 1 J . J o . t e
ምኞትሽ	m6J7t6sh6	m 1 J . J o . t 1 S
ምኞቷ	m6J7tw4	m 1 J . J o . tw a
ምክንያቴን	m6k6n6y4t5n6	m 1 . k 1 n . j a . t e n
ምክንያትሽ	m6k6n6y4t6sh6	m 1 . k 1 n . j a . t 1 S
ምክንያትሽን	m6k6n6y4t6sh6n6	m 1 . k 1 n . j a t . S 1 n
ምድረ	m6d6r1	m 1 d . r @
ምግቡን	m6g6b2n6	m 1 g . b u n
ምግቦች	m6g6b7c6	m 1 g . b o tS tS
ምጫየሁ	m6C4y1h2	m 1 . tS> a j . j @ . h u
ሞላሁ	m7l4h2	m o l . l a . h u
ሞልተው	m7l6t1w6	m o l . t @ w
ሞልታችሁ	m7l6t4c6h2	m o l . t a tS . tS 1 . h u
ሞሪኒሆ	m7r3n3h7	m o . r i . n i . h o
ሞራሉን	m7r4l2n6	m o . r a . l u n
ሞራልን	m7r4l6n6	m o . r a . l 1 n
ሞርኒንግ	m7r6n3n6g6	m o r . n i n g
ሞስት	m7s6t6	m o s t
ሞተችብኝ	m7t1c6b6J6	m o . t @ tS . tS 1 b . b 1 J J
ሞቶባቸው	m7t7b4c1w6	m o . t o b . b a tS . tS @ w
ሞክሬላት	m7k6r5l4t6	m o k . k 1 r . r e l . l a t
ሞክሬው	m7k6r5w6	m o k . k 1 r . r e w
ሞዴሉን	m7d5l2n6	m o . d e . l u n
ሞጆ	m7j7	m o . dZ o
ሞፈር	m7f1r6	m o . f @ r
ሠራሁ	sz1r4h2	s @ r . r a . h u
ሠርጉም	sz1r6g2m6	s @ r . g u m m
ሠርጌ	sz1r6g5	s @ r . g e
ሥሪው	sz6r3w6	s 1 . r i w
ሥራቸውን	sz6r4c1w6n6	s 1 . r a tS . tS @ . w 1 n
ሥራውማ	sz6r4w6m4	s 1 . r a . w 1 m . m a
ሥራውንስ	sz6r4w6n6s6	s 1 . r a . w 1 . n 1 s s
ሥራዬንም	sz6r4y5n6m6	s 1 . r a . j e . n 1 m m
ሥጋው	sz6g4w6	s 1 . g a w
ሥጋውን	sz6g4w6n6	s 1 . g a . w 1 n
ሥጋውንም	sz6g4w6n6m6	s 1 . g a w . n 1 m m
ረመዳን	r1m1d4n6	r @ . m @ . d a n
ረመዳንን	r1m1d4n6n6	r @ . m @ . d a . n 1 n
ረመዷኑም	r1m1dw4n2m6	r @ . m @ . dw a . n u m m
ረስተሽኝ	r1s6t1sh6J6	r @ s . t @ . S 1 J J
ረስተው	r1s6t1w6	r @ s . t @ w
ረስተውት	r1s6t1w6t6	r @ s . t @ . w 1 t
ረቷል	r1tw4l6	r @ tw . tw a l
ረዳ	r1d4	r @ d . d a
ረፍቱ	r1f6t2	r @ f . t u
ሩኒ	r2n3	r u . n i
ሩዋንዳ	r2w4n6d4	r u . w a n . d a
ሩፋ	r2f4	r u . f a
ሩፋኤል	r2f4?5l6	r u . f a . ? e l
ሪቪቴሽን	r3v3t5sh6n6	r i . v i . t e . S 1 n
ሪፖርተር	r3p7r6t1r6	r i . p o r . t @ r
ራህማቶሐራን	r4h6m4t7H1r4n6	r a h . m a . t o . h a . r a n
ራውንድ	r4w6n6d6	r a . w 1 n d
ሬሳሽ	r5s4sh6	r e . s a S
ርቀሻል	r6K1sh4l6	r 1 . k> @ . S a l
ርቆ	r6K7	r 1 . k> o
ርብቃ	r6b6K4	r 1 b . k> a
ርካሹ	r6k4sh2	r 1 k . k a . S u
ሮባም	r7b4m6	r o . b a m m
ሮባስ	r7b4s6	r o . b a s s
ሰሊጥ	s1l3T6	s @ . l i t>
ሰላምታው	s1l4m6t4w6	s @ . l a m . t a w
ሰላምታዬን	s1l4m6t4y5n6	s @ . l a m . t a . j e n
ሰልዬ	s1l6y5	s @ . l 1 j . j e
ሰሙን	s1m2n6	s @ m . m u n	s @ . m u n
ሰሚራስ	s1m3r4s6	s @ . m i . r a s
ሰሚር	s1m3r6	s @ . m i r
ሰማኸኝ	s1m4kx1J6	s @ m . m a . h @ J J
ሰሜ	s1m5	s @ m . m e
ሰምተሽኝ	s1m6t1sh6J6	s @ m . t @ . S 1 J
ሰምቻቸው	s1m6c4c1w6	s @ . m 1 tS . tS a tS . tS @ w
ሰረቁት	s1r1K2t6	s @ r . r @ . k> u t
ሰሩላት	s1r2l4t6	s @ r . r u l . l a t
ሰራችልህ	s1r4c6l6h6	s @ r . r a tS . tS 1 l . l 1 h
ሰራችልሽ	s1r4c6l6sh6	s @ r . r a tS . tS 1 l . l 1 S
ሰርተፍኬት	s1r6t1f6k5t6	s @ r . t @ . f 1 . k e t
ሰርክሉ	s1r6k6l2	s @ r . k 1 . l u
ሰርክአዲስ	s1r6k6?1d3s6	s @ r . k 1 . ? a d . d i s
ሰርድ	s1r6d6	s @ r d
ሰቃይ	s1K4y6	s @ . k> a j
ሰቅለነዋል	s1K6l1n1w4l6	s @ k> . l @ . n @ . w a l
ሰባተኛው	s1b4t1J4w6	s @ . b a t . t @ J . J a w
ሰባኪያን	s1b4k3y4n6	s @ . b a . k i . j a n
ሰብለን	s1b6l1n6	s @ b . l @ n
ሰብሉ	s1b6l2	s @ b . l u
ሰብሉም	s1b6l2m6	s @ b . l u m
ሰብሉን	s1b6l2n6	s @ b . l u n
ሰብሳቢው	s1b6s4b3w6	s @ b . s a . b i w
ሰቶናል	s1t7n4l6	s @ t . t o . n a l
ሰቷል	s1tw4l6	s @ tw . tw a l
ሰነበተ	s1n1b1t1	s @ . n @ b . b @ . t @
ሰንብቷል	s1n6b6tw4l6	s @ n . b 1 . tw a l
ሰኞም	s1J7m6	s @ J . J o m
ሰውስ	s1w6s6	s @ . w 1 s
ሰውነታቸው	s1w6n1t4c1w6	s @ . w 1 n . n @ . t a tS . tS @ w
ሰውነታቸውን	s1w6n1t4c1w6n6	s @ . w 1 n . n @ . t a tS . tS @ . w 1 n
ሰዐታት	s1;1t4t6	s @ . ? a . t a t
ሰዐትሽ	s1;1t6sh6	s @ . ? a . t 1 S
ሰዐቷንም	s1;1tw4n6m6	s @ . ? a . tw a . n 1 m m
ሰደደ	s1d1d1	s @ d . d @ . d @
ሰድቤው	s1d6b5w6	s @ . d 1 b . b e w
ሰግጄ	s1g6j5	s @ . g 1 dZ . dZ e
ሰጥ	s1T6	s @ t> t>
ሰጥቼዋለሁ	s1T6c5w4l1h2	s @ . t> 1 tS . tS e . w a l . l @ . h u
ሰፈረ	s1f1r1	s @ f . f @ . r @
ሰፈርህ	s1f1r6h6	s @ f . f @ . r 1 h	s @ f . f @ r h	s @ . f @ . r 1 h
ሰፋው	s1f4w6	s @ f . f a w
ሰፋውም	s1f4w6m6	s @ f . f a . w 1 m m
ሰፍሬ	s1f6r5	s @ . f 1 r . r e
ሰፍቶ	s1f6t7	s @ f . t o
ሰፎ	s1f7	s @ . f o
ሱሪና	s2r3n4	s u r . r i n . n a
ሱሪውን	s2r3w6n6	s u r . r i . w 1 n
ሱቋን	s2Kw4n6	s u . k>w a n
ሱዳኒዝ	s2d4n3z6	s u . d a . n i z
ሲ_ቪህማ	s3_v3h6m4	s i # v i . h 1 m . m a
ሲሆንላቸው	s3h7n6l4c1w6	s i . h o . n 1 l . l a tS . tS @ w
ሲለበልብ	s3l1b1l6b6	s i . l @ . b @ l . l 1 b
ሲለን	s3l1n6	s i . l @ n
ሲላክ	s3l4k6	s i l . l a k
ሲመራ	s3m1r4	s i m . m @ r . r a	s i . m @ . r a
ሲመታው	s3m1t4w6	s i . m @ . t a w
ሲመቸው	s3m1c1w6	s i m . m @ tS . tS @ w
ሲሰማ	s3s1m4	s i s . s @ m . m a	s i . s @ . m a
